"country","hhid","logem","mur","toit","sol","eauboi_ss","eauboi_sp","elec_ac","elec_ur","elec_ua","ordure","toilet","eva_toi","eva_eau","tv","fer","frigo","cuisin","ordin","decod","car","superf","grosrum","petitrum","porc","lapin","volail","sh_id_demo","sh_co_natu","sh_co_eco","sh_id_eco","sh_co_vio","sh_co_oth"
"SEN",13011,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,,0,0,0,0,0,0,0,0,0,0,0
"SEN",13012,3,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",14001,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",14002,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",14003,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",14004,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",14005,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",14006,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,,0,8,0,0,0,1,0,0,1,0,0
"SEN",14007,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,,0,0,0,0,0,0,0,0,1,0,0
"SEN",14008,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0
"SEN",14009,4,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,,0,4,0,0,0,0,0,0,0,0,1
"SEN",14010,2,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",14011,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,,0,7,0,0,26,0,0,0,0,0,0
"SEN",14012,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0
"SEN",15001,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,,0,5,0,0,0,0,0,0,0,0,0
"SEN",15002,3,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
