"vague","grappe","menage","s07aq00","s07aq01b","s07aq02b","s07aq03b","s07aq04b","s07aq05b","s07aq06b","s07aq07b","s07aq08b","s07aq09b","s07aq10b","s07aq11b","s07aq12b","s07aq13b","s07aq14b","s07aq15b","s07aq16b","s07aq17b","s07aq18b","s07aq19b","s07aq20b","s07aq21b"
2,367,1,5,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,424,1,2,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,422,1,2,1,1750,,4,,,4,,,1,1000,,1,500,,4,,,4,,
2,280,1,1,4,,,3,1000,4000,4,,,4,,,4,,,4,,,4,,
1,499,10,7,1,10850,,4,,,4,,,4,,,4,,,4,,,4,,
1,152,12,2,4,,,2,,7000,1,3500,,4,,,4,,,4,,,4,,
1,83,1,3,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,402,3,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,479,5,2,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,483,7,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,333,4,2,1,1500,,4,,,4,,,4,,,1,700,,1,4000,,4,,
2,417,2,2,1,9100,,4,,,4,,,4,,,4,,,4,,,4,,
2,140,1,3,2,,4000,4,,,2,,2000,4,,,4,,,4,,,4,,
1,545,7,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,62,1,2,4,,,2,,4000,2,,2000,4,,,4,,,2,,700,4,,
1,19,7,1,4,,,4,,,1,10500,,4,,,4,,,4,,,4,,
2,573,1,1,1,3500,,4,,,4,,,4,,,4,,,4,,,4,,
1,408,5,1,1,2100,,4,,,4,,,4,,,4,,,4,,,4,,
1,578,11,1,1,1000,,4,,,4,,,4,,,4,,,4,,,4,,
1,411,4,1,1,1500,,4,,,4,,,4,,,4,,,1,2000,,4,,
2,132,1,1,4,,,2,,10500,4,,,4,,,4,,,4,,,4,,
2,405,1,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
