"hh_id","Sea Production","Afric Azote","Africa Feed","Omega Fishing","Min_tt_factories","Min_Factory_name","mean_tt_factories","mean_Min_tt_factories"
"2_203_1",11.2426406871193,230.03657992646,201.651803615609,248.468037431536,11.2426406871193,"Sea Production",172.849765415181,172.849765415181
"2_382_1",36.7279220613579,229.078210486802,199.865007051206,245.752308678997,36.7279220613579,"Sea Production",177.855862069591,177.855862069591
"2_238_1",525.526478658695,518.472654789532,473.502092041055,434.904112294608,434.904112294608,"Omega Fishing",488.101334445972,488.101334445972
"2_216_1",462.587878478681,563.315800540039,523.658946290547,504.759451353935,462.587878478681,"Sea Production",513.580519165801,513.580519165801
"2_486_1",393.948268171891,505.44574285495,466.717820793592,458.286363288516,393.948268171891,"Sea Production",456.099548777237,456.099548777237
"2_136_2",175.426406871193,143.911688245431,102.01219330882,94.1248916810278,94.1248916810278,"Omega Fishing",128.868795026618,128.868795026618
"2_369_1",56.3553390593273,187.107647738325,156.379725676967,202.267027304759,56.3553390593273,"Sea Production",150.527434944845,150.527434944845
"2_412_1",292.78174593052,178.515764646288,133.367532368147,61.1126983722081,61.1126983722081,"Omega Fishing",166.444435329291,166.444435329291
"2_422_1",454.989898732234,396.386868351905,350.44574285495,311.646752981727,311.646752981727,"Omega Fishing",378.367315730204,378.367315730204
"2_82_1",207.601551083915,24.642135623731,35.2279220613579,103.725396744416,24.642135623731,"Afric Azote",92.799251378355,92.799251378355
"2_382_2",36.7279220613579,229.078210486802,199.865007051206,245.752308678997,36.7279220613579,"Sea Production",177.855862069591,177.855862069591
"1_389_6",202.669047558312,144.124891681028,99.1543289325506,73.0832611206852,73.0832611206852,"Omega Fishing",129.757882323144,129.757882323144
"1_554_1",684.862048458378,NA,642.73715677735,604.139177030903,NA,"Omega Fishing",NA,NA
"1_161_5",162.024386617639,177.982756057297,136.911688245431,138.237590053236,136.911688245431,"Africa Feed",153.789105243401,153.789105243401
"2_424_1",454.989898732234,396.386868351905,350.44574285495,311.646752981727,311.646752981727,"Omega Fishing",378.367315730204,378.367315730204
"2_367_1",58.7695526217004,185.521861300698,154.79393923934,200.681240867132,58.7695526217004,"Sea Production",149.941648507218,149.941648507218
"2_575_1",455.720346110534,397.117315730204,351.17619023325,312.377200360026,312.377200360026,"Omega Fishing",379.097763108504,379.097763108504
"2_417_1",202.811183182043,166.124891681028,121.154328932551,95.811183182043,95.811183182043,"Omega Fishing",146.475396744416,146.475396744416
